prod_name,sale_qty,sale_cost,sale
GODREJ EXPERT DYE NAT BLAK 3G,5,90.9,100
GODREJ EXPERT DYE NAT BROWN 5,76,1768.51,1896
GODREJ EXPERT H DYE  BLACK 20,64,1917.68,2082
GODREJ HLT SOAP INT DEO FRG+3,5,46.3,50
GODREJ KALI MEHENDI  18 GM,16,175.34,192
GODREJ KALI MEHENDI  3GM,8,87.67,96
GODREJ NUPUR HENNA 9HE BR POW,12,109.03,120
GODREJ NUPUR HENNA 9HE NB POW,28,254.44,280
GODREJ NUPUR HENNA POW 20 GM,45,195.65,225
GODREJ NUPUR MEHENDI POW 25GM,45,391.65,450
GODREJ SHIKAKAI 3IN1 75GM,102,2940.37,3078.3
H&S AD SHAP LEMON FRESH 180ML,6,781.37,861
H&S AD SHAP LEMON FRESH 72ML,5,314.99,346
H&S ANTI DAN SHAM FOR MEN 80,14,1008.14,1144
H&S ANTI HAIRFALL CONDITI 80M,4,250.55,280
H&S ANTI HAIRFALL SAMPOO 72ML,7,452.01,497
H&S ANTI HAIRFALL SHAMP 180ML,2,253.64,280
H&S ANTI HAIRFALL SHAMP 675ML,1,589.29,648
H&S COOL MENTHOL SHAMPOO 180M,21,3361.84,3771
H&S SHAM A/D COOL MENTHOL 72M,12,765.53,840
H&S SHAM ANT HAIR FALL 340ML,2,507.82,560
H&S SHAM ANTI DAN HAIRFA 170G,7,1163.6,1284
H&S SHAM SILKY BLACK  72ML,11,677.44,748
H&S SHAM SILKY BLACK 180ML,8,1120.06,1228
H&S SHAM SMOOTH & SHILK 750ML,1,589.29,648
H&S SHAM SMOOTH SILKY 72 ML,16,1082,1178
H&S SHAMP COOL MENTHOL 675ML,1,589.29,648
H&S SHM 180ML X56 NEEM IN MK,5,873.62,957
H&S SHM 340ML X30 NEEM IN MK,1,340.91,372
H&S SMOOTH & SILKY COND 80ML,32,2245.75,2539
H&S SMOOTH & SILKY SHAM 180ML,19,3050.02,3400
H&S SMOOTH & SILKY SHAP 340ML,1,268.19,293
HESH AMLA POWDER 100 GM,2,150,188
HIMALAYA ANT DAND H OIL 120ML,2,112.26,128
HIMALAYA DRYNESS DEFE SH 400M,2,107.1,123
HIMALAYA GEN DAI CARE SH 400M,1,56.37,61.5
HIMANI NAVRATAN HAIR OIL 100M,6,442.01,480
HIMANI NAVRATNA EX THAN OIL50,6,212.42,240
INDULEKHA BRINGHA OIL 100ML,10,3582,4140
INDULEKHA NEEMRAJ OIL 100ML,12,48.99,60
INDULEKHA NEEMRAJ OIL 50ML,15,23.77,30
INDULEKHA SHMP HFL 100ML,15,1785.69,1989
INDULEKHA SHMP HFL 24*200ML,4,825.4,920
KESH KING AYUR MEDI OIL 60 ML,2,148.56,158
LOREAL COLOUR PRO COND 65ML,1,84.86,98
LOREAL COLOUR PRO SHAMP 175ML,2,324,372
LOREAL COLOUR PRO.SHAM 82 ML,5,321.44,370
LOREAL HEX EXTORD CLAY SH 75,2,118.28,136
LOREAL TOTAL REPAIR SHA 175GM,4,596.58,685
LOREAL TOTAL REPAIR SHA 75ML,4,258.88,298
PA BS SHINY & BOUNCY180ML NEW,2,247.98,286
PANTENE 2IN1 SIL SM SH/C 180M,3,382.51,420
PANTENE 2IN1 SIL SM SH/C 340M,1,272.73,298
PANTENE ADV HAR SOL 2IN1 180M,11,1577.72,1717
PANTENE ADV HAR SOL 2IN1 340M,1,272.73,298
PANTENE HAIR FALL C COND 75ML,2,156.52,172
PANTENE LIVELY CLEAN 90M,3,168.18,182
PANTENE LONG BLACK SHA  180 M,1,98.18,108
PANTENE PRO LONG BLA SHAM 80M,4,231.83,251
PANTENE PRO TOTAL STR SHAM200,1,179.36,200
PANTENE PROV  SHAM  S&S 75ML,11,650.02,704
PANTENE PROV  SHAM HFC 80ML,9,518.18,561
PANTENE PROV AD SHAMPOO 180ML,3,327.27,357
PANTENE PROV HFC SHAMPOO 180M,6,709.06,769
PANTENE SHAM PROV  LV CL 200M,2,218.18,236
PANTENE SILKY SM CA SHAM 180M,10,1178.48,1276
PANTENE TOTAL DAMA  CARE675ML,4,436.36,472
PARACHTE AD A/VER  H/OIL 150,58,4062.86,4397.05
PARACHTE AD A/VER  H/OIL 250,46,5433.74,5864
PARACHTE AD A/VERA  H/OIL 75M,75,2754.05,2925
PARACHUTE AD AYUR HAI OIL 190,5,473.9,545
PARACHUTE AD AYUR HAI OIL 95M,4,200.6,216
PARACHUTE AD JASMINE OIL 45ML,30,550.82,600
PARACHUTE HAIR OIL 100ML,248,8709.33,9353.53
PARACHUTE HAIR OIL 1LTR,4,1353.4,1506
PARACHUTE HAIR OIL 200ML,242,14618.89,15752
PARACHUTE HAIR OIL 250ML,171,14732.18,15973.24
PARACHUTE HAIR OIL 500ML BTL,94,16672.66,17787
PARACHUTE HAIR OIL 50ML BTL,141,2589.22,2818.81
PARACHUTE HAIR OIL ADV  80ML,9,360,387
PARACHUTE JASMINE OIL 100ML,53,1894.88,2030
PARACHUTE JASMINE OIL 200ML,24,1786.95,1952
PARACHUTE JASMINE OIL 300ML,12,1355.7,1510
PATAN HAL/CH KAN BO CL75G,24,217.86,240
PATAN KES KA H/C A.DA200M,7,682.68,770
PATAN KES KA H/C M.PR200M,3,271.75,305
PATAN KES KA H/C REE 200M,8,628.09,709.05
PATAN KES KA H/C SHIK200M,3,259.68,295
PATAN KES KAN H/C NA 200M,10,700.88,790
PATAN KES KANT H/C ALO200,2,148.74,170
SUNSIL ONION&JOJO OIL M SH180,17,2217.83,2523
SUNSILK BLACK SHINE SH  340ML,3,713.38,786
SUNSILK GT& WL SHAM 195 ML,1,118.18,129
SUNSILK LIVEL GLD SHAM 200ML,45,35,45
SUNSILK ONION&JOJO OIL L S370,6,1502.72,1680
SUNSILK PRO COL. NO 3  80ML,72,106.12,144
SUNSILK SHAM BLACK 180 ML,11,1254.92,1405
SUNSILK SHAM SILK STR SCH,234,176.48,234
SUNSILK SHAM SOFT & SMOOT 80M,13,644.72,722
SUNSILK SHAM THICK & LONG 80G,7,358.03,399
SUNSILK SHAM THICK &LONG 180M,7,802.46,896
SUNSILK SOFT & SMOOT SMP 340M,1,195.46,214
SUNSILK SOFT & SMOT SHAM 180M,1,116.4,130
SUNSILK ST BLACK SHINE SH 80M,26,1358.02,1514
SUNSILK STUN BLK SH LAR COND,94,136.69,188
SUNSILK THICK&LONG SHAM 340ML,3,568.77,636
SUNSILK THIK & LONG SH B2G1,95,70.62,95
SUNSILK THK &LONG NUR COND 80,8,486.8,544
TRESEMME HAIRFAL DEF CON 85ML,8,609.91,683
TRESEMME HAIRFAL DEF SH 85ML,14,864.18,966
TRESEMME HAIRFALL DEF MASK180,6,883.39,978
TRESEMME KER SMOOTH SHA 80ML,18,1119.92,1252
TRESEMME KERATIN SMO SHA LARG,16,23.36,32
TRESEMME KS SHA 200ML,21,3244.73,3612
TRESEMME NOUR&REPLEN SHA LARG,16,23.36,32
TRESEMME PRO PROT SF SHAM180M,1,186.65,215
TRESEMME SHAMPOO SACHET 7.5ML,1,3.06,5
TRESEMME SM AND SHIN CON 190M,7,1007.79,1120
TRESEMME SM AND SHIN CON 85ML,10,917.29,1060
TRESEMME SM AND SHIN SHM 85ML,9,555.56,621
TRESEMME SMOO& SHINE SHA LARG,16,23.36,32
TRESME THI&FUL SHAM MID BT180,4,516.82,580
TRESME THI&FUL SHAM SML BT80M,4,248.82,276
CLOSE UP DA RED HOT T PAS 80G,78,3728.31,4150
CLOSE UP FIRE FREEZE T P 150G,2,181.82,198
CLOSE UP RED HOT T PASTE 150G,58,5024.25,5568
CLOSE UP RED HOT T/P 150G*150,49,7498.36,8192
CLOSE UP RED T PASTE 50GM,78,1358.88,1560
CLOSE UP T PASTE RED 40G,13,226.9,260
COL  T/B ZIGZAG  MED PAC6,7,622.23,812
COL KIDS 0-2Y SMI BU PRE TP70,1,143.64,156
COL KIDS 6+ SMI BU PRE TP80GM,4,396.37,428
COLGA ACTI SALT LE T/P  200G,1,127.26,138
COLGAT SP FLE SF CHA TB M10+2,17,222.16,406.88
COLGAT ZZ CHARCOL TB  PO4,6,440.02,582
COLGAT ZZ CHARCOL TB M 6+2,1,30.36,34
COLGAT ZZ CHARCOL TB S 6+2,12,0,408
COLGATE  MAX FRE ICE 150GM,3,475.8,522
COLGATE  PLAX  FRES MINT 250M,6,818.16,888
COLGATE  PLAX PEPPERMINT 50ML,5,249.98,270
COLGATE  T/B  PLU ZIGZAG SOFT,2,0,58
COLGATE  T/B MED ZIGZAG [2+1],31,1736.07,2139
COLGATE  T/B SENS SOFT  [2+1],3,263.98,324
COLGATE  T/B SENS ULT SOFT,26,960.04,1272
COLGATE  T/B SUPER 55  M,12,222.17,288
COLGATE 360 VISIBLE WHITE T/B,3,203.55,270
COLGATE ACTIVE SAL HEA WH 100,31,1966.35,2132
COLGATE ACTIVE SAL HEA WH 200,9,927.33,1002
COLGATE ACTIVE SALT T/P  100G,12,692.78,750
COLGATE ACTIVE SALT T/P  200G,11,1088.22,1178
COLGATE ACTIVE SALT T/P  50GM,12,218.21,240
COLGATE ACTIVE SALT T/P 30GM,9,163.65,180
COLGATE ADVAN HEALTH TP 140GM,9,1121.83,1216
COLGATE CDC 300+200GM,31,7091.98,7702
COLGATE CIB TOP FAM T/P 400GM,41,4399.44,4772
COLGATE CIBACA 1 2 3 T/P 80G,48,759.29,916
COLGATE CIBACA T PASTE 100GM,47,1281.69,1363
COLGATE CIBACA T PASTE 175GM,53,3022.91,3272
COLGATE CIBACA T PASTE 50GM,47,427.61,470
COLGATE CIBACA T/B SUPR F/H H,74,1776.07,2146
COLGATE CIBACA T/B TOP SOFT,4,252.8,312
COLGATE DEN CRM 150GM,94,7109.38,7658
COLGATE DEN CRM 200GM,74,7474.84,8098
COLGATE DEN CRM 25GM,82,746.03,820
COLGATE DEN CRM 50GM,177,3218.54,3540
COLGATE DENTAL CREAM T/P 100G,213,12042.38,13061.4
COLGATE DENTAL PASTE 800GM,17,5419.91,5892.1
COLGATE HERBAL 100GM,16,1262.56,1395
COLGATE HERBAL 200GM,9,947.3,1024
COLGATE KIDS BARBI T/ B,13,821.61,1014
COLGATE KIDS BLUE T PASTE 40G,12,531.81,573
COLGATE KIDS SPIDER MAN 80G,14,1350.12,1478
COLGATE KIDS SPIDERMAN T/ BRU,5,316,390
COLGATE KIDS STRA FLV2/5Y 40G,2,81.82,88
COLGATE KIDS T-PASTE BUB FRU4,4,338.2,364
COLGATE KIDS T-PASTE STRA 40G,26,1315.37,1421
COLGATE MAXFRESH BLUE 150GM,38,3683.99,4008
COLGATE MAXFRESH BLUE 300GM,9,1596.33,1712
COLGATE MAXFRESH BLUE 80GM,64,3418.33,3708
COLGATE MAXFRESH RED 150GM,45,4341.91,4729
COLGATE MAXFRESH RED 300,38,6456.68,7069
COLGATE MAXFRESH RED 40GM,88,1600.16,1760
COLGATE MAXFRESH RED 600GM,7,1906.34,2076
COLGATE MAXFRESH RED 80GM,67,3602.81,3896
COLGATE MAXWHITE  20G,44,400.31,440
COLGATE PLAX COMPLET CARE 250,2,272.72,296
COLGATE PLAX FRESH TEA 60ML,10,495.42,535
COLGATE PLAX FRESHMINT 100ML,12,599.96,648
COLGATE PLAX SENSITIVE 250ML,1,121.05,138
COLGATE SEN ORIGINAL PASTE 40,8,521.75,576
COLGATE SEN WHITE T PASTE 50,2,107.57,118
COLGATE SENSIT PRO RELIEF 30G,6,339.13,384
COLGATE SENSITIVE  PASTE80+80,19,2305.83,2561
COLGATE SLIM SF CHARCOAL B2G2,5,535.7,725
COLGATE SLIM SOFT BUY 2 GET 2,6,666.66,870
COLGATE SLIM SOFT CHARCOL SIN,17,501.6,615
COLGATE SUPER SHINE TOOTHBRUS,24,355.42,480
COLGATE SWARN VEDSHAKTI 100GM,43,2447.32,2649
COLGATE SWARN VEDSHAKTI 200GM,20,2007.25,2168
COLGATE SWARN VEDSHAKTI 300GM,7,1225.48,1333
COLGATE SWARN VEDSHAKTI 40GM,44,681.94,750
COLGATE T BRUSH KIDS O-2 SOFT,23,552.01,667
COLGATE T P VISIBLE WHITE 50G,29,2297.72,2592
COLGATE T/B 360 WHO MOU CLEAN,6,400.16,528
COLGATE T/B EXTRA CLEAN MED,24,337.72,456
COLGATE T/B GENTL CLEN U SOFT,36,825.78,1243
COLGATE T/B KIDS 2+ SOFT,39,1129.63,1480
COLGATE T/B SENSI ULTRA/S 4NO,28,2694.8,3496
COLGATE T/B SUP FLEX MED,30,444.27,600
COLGATE T/B SUP FLEXIBLE,57,1426.32,1863
COLGATE T/B SUP JUN FLEX SOFT,21,277.61,375
COLGATE T/B SUP JUNIOR SOFT,3,44.43,60
COLGATE TOOTH PASTE 300GM,38,5827.66,6342
COLGATE TOOTH POWDER 100G,7,352.24,378
COLGATE TOOTH POWDER 200G,12,1051.22,1137
COLGATE TOOTHPOWDER 50GM,10,274.51,290
